zona,atraccion,tiempo_espera,ultima_actualizacion,fecha,hora,dia_semana
Cartoon Village,A Toda Máquina,5,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
Cartoon Village,Academia de Pilotos Baby Looney Tunes,10,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
Cartoon Village,Cartoon Carousel,5,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
Cartoon Village,Correcaminos Bip Bip,35,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
Cartoon Village,La Aventura de Scooby-Doo,35,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
Cartoon Village,La Captura de Gossamer,20,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
Cartoon Village,Looney Tunes Correo Aéreo,10,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
DC Super Heroes World,Batman Gotham City Escape,40,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
DC Super Heroes World,La Venganza del Enigma,20,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
DC Super Heroes World,Mr. Freeze Fábrica de Hielo,5,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
DC Super Heroes World,Shadows of Arkham,15,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
DC Super Heroes World,Superman La Atracción de Acero,35,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
DC Super Heroes World,The Joker Coches de Choque,5,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
Movie World Studios,Cine Tour,5,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
Old West Territory,Coaster Express,20,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
Old West Territory,Los Carros de la Mina,10,2025-11-22 13:00:15+00:00,2025-11-22,14:03,Saturday
