zona,atraccion,tiempo_espera,ultima_actualizacion,fecha,hora,dia_semana
Cartoon Village,A Toda Máquina,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
Cartoon Village,Cartoon Carousel,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
Cartoon Village,Correcaminos Bip Bip,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
Cartoon Village,La Aventura de Scooby-Doo,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
Cartoon Village,La Captura de Gossamer,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
Cartoon Village,Looney Tunes Correo Aéreo,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
DC Super Heroes World,Batman Gotham City Escape,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
DC Super Heroes World,La Venganza del Enigma,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
DC Super Heroes World,Mr. Freeze Fábrica de Hielo,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
DC Super Heroes World,Shadows of Arkham,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
DC Super Heroes World,Superman La Atracción de Acero,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
DC Super Heroes World,The Joker Coches de Choque,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
Movie World Studios,Cine Tour,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
Movie World Studios,Hotel Embrujado,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
Movie World Studios,Stunt Fall,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
Old West Territory,Coaster Express,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
Old West Territory,Los Carros de la Mina,5,2025-11-15 14:45:10+00:00,2025-11-15,15:47,Saturday
