zona,atraccion,tiempo_espera,ultima_actualizacion,fecha,hora,dia_semana
Cartoon Village,A Toda Máquina,5,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
Cartoon Village,Cartoon Carousel,5,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
Cartoon Village,Correcaminos Bip Bip,40,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
Cartoon Village,La Aventura de Scooby-Doo,25,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
Cartoon Village,La Captura de Gossamer,5,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
Cartoon Village,Looney Tunes Correo Aéreo,5,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
Cartoon Village,Tom & Jerry Picnic en el Parque,20,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
DC Super Heroes World,La Venganza del Enigma,10,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
DC Super Heroes World,Mr. Freeze Fábrica de Hielo,5,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
DC Super Heroes World,Shadows of Arkham,10,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
DC Super Heroes World,Superman La Atracción de Acero,40,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
DC Super Heroes World,The Joker Coches de Choque,15,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
Movie World Studios,Cine Tour,10,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
Movie World Studios,Hotel Embrujado,25,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
Movie World Studios,Stunt Fall,20,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
Old West Territory,Coaster Express,15,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
Old West Territory,Los Carros de la Mina,5,2025-11-08 15:45:11+00:00,2025-11-08,16:47,Saturday
